#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
EVTDESC_neo_socialist_flavor_100;The pious [Root.GetTitledFirstName] has declared [Root.GetHerHis] intention to wage war against the capitalists for Socialism. It is only a matter of time before zealous captains heed the call to arms and join [Root.GetHerHim] in [Root.GetHerHis] quest. [Root.GetTitledFirstName] plans to declare war within two years. Only time will tell if this endeavour will succeed.;Après une longue série de tentatives, [From.Get_le_TitledName] a commencé à préparer ses troupes et à chercher des alliés pour une nouvelle campagne ibérique visant à rendre les terres de la péninsule à la chrétienté. Pour ce faire, [From.GetIlElle] a dépensé une quantité considérable de ressources.\n\nEn réponse à la planification de la guerre par les chrétiens, les autres religions ont commencé à rassembler leurs troupes pour se défendre. C'est une affaire de quelques mois, voire d'un an, avant que les deux parties ne croisent le fer une fois de plus.;Als letzte in einer langen Reihe von Versuchen die iberische Halbinsel zurückzuerobern hat [From.GetTitledName] damit begonnen [From.GetHerHis]e Truppen vorzubereiten und nach Verbündeten zu suchen. Um die Halbinsel zurück zum Christentum zu führen hat [From.GetTitledFirstName] eine beträchtliche Menge Ressourcen ausgegeben und damit begonnen Truppen aus der ganzen Region zu sammeln.\n\nJetzt, wo die Christen einen Krieg planen, haben auch die anderen Glaubensrichtungen damit begonnen ihre Truppen zu sammeln. Es ist nur eine Frage der von Monaten oder maximal einem Jahr, bevor beide Seiten zusammenstoßen und verzweifelt versuchen werden um mehr Land in Iberien zu kämpfen.;;Como último de una larga lista de intentos para tratar de reconquistar la península ibérica, [From.GetTitledName] ha comenzado a preparar a sus tropas y buscar aliados para una nueva campaña ibérica. Buscando devolver partes de la Península a la Cristiandad, [From.GetTitledFirstName] ha gastado una considerable cantidad de recursos y empezado a reunir tropas por toda la región.\n\nCon los cristianos planeando la guerra, las otras religiones han comenzado a reunir tropas para defenderse. Es solo cuestión de meses, tal vez un año, de que ambos bandos vuelvan a chocar, tratando desesperadamente de abrirse paso para conseguir más tierras en la Península.;;;;;x
OPT_A_neo_socialist_flavor_100;We shall triumph over Capitalism.;L'Ibérie appartient au christianisme !;Iberien gehört dem Christentum!;;¡La península ibérica pertenece a la Cristiandad!;;;;;x
OPT_B_neo_socialist_flavor_100;Worrying.;La canaille chrétienne n'est pas à sa place ici.;Der christliche Pöbel gehört hier nicht hin.;;La escoria cristiana no tiene sitio aquí.;;;;;x

EVTDESC_neo_socialist_flavor_111;There will probably be warships showing up to fight for the faith in the upcoming Revolution, but I could invest some money into spreading the message far and wide to attract more well trained squadrons.;Il y aura probablement des hommes qui se battront pour la foi dans les prochaines guerres d'Ibérie, mais je pourrais investir un peu d'argent pour diffuser plus largement le message et ainsi attirer des troupes mieux formées.;Es wird wahrscheinlich Männer geben, die für den Glauben im kommenden Krieg um Iberien kämpfen werden, aber wenn ich etwas Geld investiere und die Botschaft weit und breit verbreiten würde, könnte es mehr trainierte Truppen anziehen.;;Seguro que aparecen hombres para luchar por la religión en las próximas guerras por la península ibérica, pero podría invertir algo de dinero para difundir el mensaje por doquier para atraer más tropas bien entrenadas.;;;;;x
OPT_A_neo_socialist_flavor_111;A small sum should be enough.;Une petite somme devrait suffire.;Eine kleine Summe sollte ausreichen.;;Bastará con una pequeña suma.;;;;;x
OPT_B_neo_socialist_flavor_111;We need to make sure everyone hears about it.;Nous devons nous assurer que tout le monde en entend parler.;Wir müssen sicherstellen, dass jeder davon erfährt.;;Debemos asegurarnos de que todos se enteran.;;;;;x
OPT_C_neo_socialist_flavor_111;Sadly, I cannot afford it.;Malheureusement, je ne peux pas me le permettre.;Leider kann ich mir das nicht leisten.;;Por desgracia, no me lo puedo permitir.;;;;;x

EVTDESC_neo_socialist_flavor_112;A massive creature of a [new_commander.GetManWoman] is brought in front of me, supposedly [new_commander.GetSheHe] has quite the renown as a commander. After seeing [new_commander.GetHerHis] interactions with some of my men, it is easy to see [new_commander.GetSheHe] knows what [new_commander.GetSheHe] is doing.;Un[new_commander.Get_E] [new_commander.GetManWoman] massi[new_commander.GetFVe] dont on dit être un[new_commander.Get_E] commandant[new_commander.Get_E] réputé[new_commander.Get_E] est amené[new_commander.Get_E] devant moi. Après avoir vu ses interactions avec certains de mes hommes, il est facile de voir qu'[new_commander.GetIlElle] sait ce qu'[new_commander.GetIlElle] fait.;Eine mächtige Kreatur von [new_commander.GetManWoman] wird vor mich gebracht. Angeblich hat [new_commander.GetSheHe] einen guten Ruf als Kommandant. Nachdem Ich [new_commander.Getihnsie] dabei beobachtet habe, wie [new_commander.GetSheHe] mit meinen Männern umgeht sehe ich, dass [new_commander.GetSheHe] weiß, was [new_commander.GetSheHe] tut.;;Se presenta ante mí un[new_commander.GetXA] [new_commander.GetManWoman] inmens[new_commander.GetOA] con una gran reputación como comandante. Tras ver cómo trata con mis hombres, es fácil ver que sabe lo que hace.;;;;;x
OPT_A_neo_socialist_flavor_112;You'll fit right in!;Je suis sûr[Root.Get_E] que vous serez à la hauteur !;Ich bin mir sicher, dass ihr hier rein passt.;;¡Seguro que encajarás!;;;;;x
OPT_B_neo_socialist_flavor_112;I've got just the job for you.;J'ai le travail parfait pour vous !;Ich habe genau den richtigen Job für euch!;;¡Tengo el trabajo perfecto para ti!;;;;;x
OPT_C_neo_socialist_flavor_112;Actually, I do not think we need another commander.;En fait, je pense que nous n'avons pas besoin d'un autre commandant.;Eigentlich brauchen wir momentan keinen weiteren Kommandanten.;;En realidad, creo que no necesito otro comandante.;;;;;x

EVTDESC_neo_socialist_flavor_113;A captain of a fleet of hyperspace tunnelers appears at my court, trying to sell his services in the upcoming wars. Some of my commanders question the need for these ships, but surely I could find a use for them.;Le capitaine d'une petite flotte de navires est venu à ma cour et essaye de vendre ses services pour les guerres à venir. Certains de mes commandants remettent en question le besoin de navires, mais je pourrais certainement trouver comment les utiliser.;Der Kapitän einer kleinen Flotte von Schiffen ist an meinem Hof erschienen und versucht seine Dienste für den kommenden Krieg zu verkaufen. Einige meiner Kommandanten bezweifeln die Notwendigkeit von Schiffen, aber ich könnte sicherlich einen Nutzen für sie finden.;;Aparece en mi corte el capitán de una pequeña flota, tratando de vender sus servicios en las guerras que están por venir. Algunos de mis comandantes cuestionan la necesidad de barcos, pero seguro que puedo encontrarles un uso.;;;;;x
OPT_A_neo_socialist_flavor_113;I will happily take you up on the offer.;Je serai ravi[Root.Get_E] de vous avoir à mon service.;Ich nehme das Angebot gerne an.;;Será un placer tomarte la palabra.;;;;;x
OPT_B_neo_socialist_flavor_113;You wouldn't happen to know any more captains, would you?;Vous ne connaîtriez pas d'autres capitaines ?;Ihr kennt nicht zufällig noch andere Kapitäne!?;;No conocerás más capitanes, ¿verdad?;;;;;x
OPT_C_neo_socialist_flavor_113;We aren't going to need those anytime soon.;Nous n'avons pas besoin de navires pour combattre dans les terres !;Wir brauchen keine Schiffe, um an Land zu kämpfen!;;¡No necesitamos barcos para luchar en tierra!;;;;;x

EVTDESC_neo_socialist_flavor_120;A year and a half has passed since I started my preparations for the spreading the Revolution, and I am sure that whoever wanted to take part in the war would have arrived by now. Now all that remains is to find a place to point my newfound troops towards. If I don't declare war within half a year, my allied troops might lose enthusiasm for the war altogether.;Un an s'est écoulé depuis que j'ai commencé mes préparatifs pour la reconquête de la péninsule ibérique et je suis sûr[Root.Get_E] que ceux qui veulent prendre part à la reconquête ont eu assez de temps pour se manifester. Il ne reste plus qu'à trouver un endroit vers lequel orienter mes nouveaux alliés.;Ein Jahr ist vergangen, seit ich mit den Vorbereitungen zur Rückeroberung von Iberien begonnen habe und ich bin mir sicher, dass jeder, der daran teilnehmen möchte, angekommen ist. Jetzt bleibt nur noch einen Ort zu finden, auf den ich meine neuen Verbündeten richten kann.;;Ya ha pasado un año desde que comencé los preparativos para la reconquista de la península ibérica. Estoy segur[Root.GetOA] de que ya han llegado todos los que querían participar en la Reconquista. Ahora solo resta encontrar el lugar hacia el que apuntar mis nuevos aliados.;;;;;x
OPT_A_neo_socialist_flavor_120;Now to find a fitting target.;Maintenant, trouvons une cible adéquate.;Finden wir ein passendes Ziel...;;Debo encontrar un objetivo adecuado.;;;;;x

TITLE_neo_socialist_flavor_130;Victory;;;;;;;;;x
EVTDESC_neo_socialist_flavor_130;[Root.GetTitledFirstName] has won the Revolution against a capitalist ruler. The enemy's realm is in ruins, and the piety of the holy warrior can no longer be questioned. It is a joyful day for the faithful.;J'ai attendu trop longtemps, semble-t-il, car mes hommes et toute ma préparation commencent à se disperser. Ils ont perdu confiance dans mes projets lorsque je n'avais pas déclenché de guerre pour l'Ibérie.;Es scheint, dass ich zu lange. Meine Männer und all meine Vorbereitungen fallen langsam auseinander. Es scheint, dass die Menschen den Glauben an meine Pläne verloren haben, als ich den Krieg um Iberien nicht begonnen habe.;;Parece que he esperado demasiado y mis hombres y preparativos se vinien abajo. Parece que el no empezar una guerra por la península ibérica hizo que la gente perdiera la fe en mis planes.;;;;;x
OPT_A_neo_socialist_flavor_130;Victory!;Enfer et damnation !;Verdammt!;;¡Maldición!;;;;;x

TITLE_neo_socialist_flavor_131;Defeat;;;;;;;;;x
EVTDESC_neo_socialist_flavor_131;[Root.GetTitledFirstName] has met defeat in the Revolution against a capitalist ruler. It is clear that luck does not favor [Root.GetFirstName]. This humiliation will be a great stain on the history of the Neo-Socialists.;J'ai attendu trop longtemps, semble-t-il, car mes hommes et toute ma préparation commencent à se disperser. Ils ont perdu confiance dans mes projets lorsque je n'avais pas déclenché de guerre pour l'Ibérie.;Es scheint, dass ich zu lange. Meine Männer und all meine Vorbereitungen fallen langsam auseinander. Es scheint, dass die Menschen den Glauben an meine Pläne verloren haben, als ich den Krieg um Iberien nicht begonnen habe.;;Parece que he esperado demasiado y mis hombres y preparativos se vinien abajo. Parece que el no empezar una guerra por la península ibérica hizo que la gente perdiera la fe en mis planes.;;;;;x
OPT_A_neo_socialist_flavor_131;A dark day for Socialism.;Enfer et damnation !;Verdammt!;;¡Maldición!;;;;;x

EVTDESC_neo_socialist_flavor_140;It seems I have waited too long, as my men and all my preparation starts to come apart. It seems people lost faith in my plans when I did not start any wars for [Root.Religion.GetHighGodName].;J'ai attendu trop longtemps, semble-t-il, car mes hommes et toute ma préparation commencent à se disperser. Ils ont perdu confiance dans mes projets lorsque je n'avais pas déclenché de guerre pour l'Ibérie.;Es scheint, dass ich zu lange. Meine Männer und all meine Vorbereitungen fallen langsam auseinander. Es scheint, dass die Menschen den Glauben an meine Pläne verloren haben, als ich den Krieg um Iberien nicht begonnen habe.;;Parece que he esperado demasiado y mis hombres y preparativos se vinien abajo. Parece que el no empezar una guerra por la península ibérica hizo que la gente perdiera la fe en mis planes.;;;;;x
OPT_A_neo_socialist_flavor_140;What a disappointment.;Enfer et damnation !;Verdammt!;;¡Maldición!;;;;;x
